"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"",-0.571687557080593,-0.571687557080605,-1.51196850833975,-2.33171482245956,-0.577527580404874,-0.510204156623258,-0.510825623765991,0.6,0.56842042042042,5.55555555555556,0.694444444444444
"",-0.590790023123542,-0.590790023123555,-1.546217927073,-1.11605004556156,-0.582245549159801,-0.521585702228998,-0.510825623765991,0.6,0.587747747747748,5.55555555555556,0.694444444444444
"",-0.584890981035854,-0.584890981035874,-1.54538262614097,-1.16208032827088,-0.577723443604663,-0.52293626648003,-0.510825623765991,0.6,0.581601601601602,5.55555555555556,0.694444444444444
"",-0.568222679005002,-0.56822267900507,-1.55336184516009,-1.18313221220621,-0.544381024078823,-0.497697615178392,-0.510825623765991,0.6,0.620164164164164,5.55555555555556,0.694444444444444
"",-0.594348751492083,-0.594348751492093,-1.56355132873496,-1.21974916369051,-0.579723924668373,-0.529643250576955,-0.510825623765991,0.6,0.617441441441441,5.55555555555556,0.694444444444444
"",-0.597518216714219,-0.59751821671425,-1.57790413946634,-1.25041470182196,-0.576904871925044,-0.525945284480602,-0.510825623765991,0.6,0.615523523523523,5.55555555555556,0.694444444444444
"",-0.597375808666965,-0.597375808667013,-1.58482493285247,-1.69115319286684,-0.592215817760196,-0.524398115711637,-0.510825623765991,0.6,0.608848848848849,5.55555555555556,0.694444444444444
"",-0.359596700258443,-0.359596700855084,-0.61201168376322,-0.606764426126301,-0.362576290069928,-0.356194955011274,-0.356674943938732,0.7,0.118194194194194,4.08163265306122,0.510204081632653
"",-0.346418797433355,-0.346418797481322,-0.789525666815584,-0.788456849345338,-0.344563615650062,-0.341842141387315,-0.356674943938732,0.7,0.201249249249249,4.08163265306122,0.510204081632653
"",-0.366104294016207,-0.36610429406238,-0.870527599797265,-0.890637942321004,-0.370447784988978,-0.357476183551343,-0.356674943938732,0.7,0.239151151151151,4.08163265306122,0.510204081632653
"",-0.352107423100777,-0.352107423228965,-0.889345786175711,-1.90081262167759,-0.348508616938201,-0.341967571363951,-0.356674943938732,0.7,0.272704704704705,4.08163265306122,0.510204081632653
"",-0.366527651343788,-0.366527651396113,-0.944713420568299,-1.20508704974456,-0.371202945578172,-0.353888615521227,-0.356674943938732,0.7,0.310446446446446,4.08163265306122,0.510204081632653
"",-0.382783066511714,-0.382783068125915,-1.06934883340941,-1.98581413701147,-0.388052168354669,-0.360613875567402,-0.356674943938732,0.7,0.352024024024024,4.08163265306122,0.510204081632653
"",-0.390261199311313,-0.390261200666375,-1.10356736384978,-1.98853550801807,-0.39726813611496,-0.367130562885083,-0.356674943938732,0.7,0.407755755755756,4.08163265306122,0.510204081632653
"",-0.412151657744453,-0.41215165900839,-1.14159430304037,-1.33386378732881,-0.433012973990122,-0.384303785738682,-0.356674943938732,0.7,0.40996996996997,4.08163265306122,0.510204081632653
"",-0.415423187191996,-0.4154231884838,-1.16206509226335,-1.98922276446008,-0.422510550472479,-0.384274522843355,-0.356674943938732,0.7,0.45214014014014,4.08163265306122,0.510204081632653
"",-0.416066136902686,-0.416066138802584,-1.17571793210836,-1.99933153882998,-0.411107677658181,-0.37975708509297,-0.356674943938732,0.7,0.470194194194194,4.08163265306122,0.510204081632653
"",-0.386428651209846,-0.38642865347868,-1.1657846424464,-0.690095482070741,-0.392979292694211,-0.34614144492964,-0.356674943938732,0.7,0.483911911911912,4.08163265306122,0.510204081632653
